"DTI_CL_ANO","Año","DTI_CL_CUT_2010","Región Provincia Comuna","Value","Flag Codes","Flags"
"2015","2015","11101","Coyhaique",84406.71874388,,
"2015","2015","12101","Punta Arenas",61230.13124,,
"2015","2015","13101","Santiago",582771.95097,,
"2015","2015","13102","Cerrillos",288777.52801,,
"2015","2015","13103","Cerro Navia",42126.749,,
"2015","2015","13104","Conchalí",116642.12812,,
"2015","2015","13105","El Bosque",102872.70487,,
"2015","2015","13106","Estación Central",221700.0704,,
"2015","2015","13107","Huechuraba",165812.45796,,
"2015","2015","13108","Independencia",129400.89772,,
"2015","2015","13109","La Cisterna",198038.22414,,
"2015","2015","13110","La Florida",363662.70032,,
"2015","2015","13111","La Granja",172434.47869,,
"2015","2015","13112","La Pintana",202798.726144657,,
"2015","2015","13113","La Reina",164846.05876,,
"2015","2015","13114","Las Condes",467542.27251,,
"2015","2015","13115","Lo Barnechea",123970.07706,,
"2015","2015","13116","Lo Espejo",120273.53379,,
"2015","2015","13117","Lo Prado",62760.76906,,
"2015","2015","13118","Macul",262920.15691,,
"2015","2015","13119","Maipú",617425.52464,,
"2015","2015","13120","Ñuñoa",303572.08523,,
"2015","2015","13121","Pedro Aguirre Cerda",105838.39683,,
"2015","2015","13122","Peñalolén",216516.73839,,
"2015","2015","13123","Providencia",386689.92352,,
"2015","2015","13124","Pudahuel",198737.06291,,
"2015","2015","13125","Quilicura",263293.7433,,
"2015","2015","13126","Quinta Normal",153662.28165,,
"2015","2015","13127","Recoleta",153079.20895,,
"2015","2015","13128","Renca",216067.7442,,
"2015","2015","13129","San Joaquín",141629.47984,,
"2015","2015","13130","San Miguel",161836.99636,,
"2015","2015","13131","San Ramón",101627.57166,,
"2015","2015","13132","Vitacura",291520.36471,,
"2015","2015","13201","Puente Alto",369858.44586,,
"2015","2015","13301","Colina",255925.9988,,
"2015","2015","13302","Lampa",118999.06907,,
"2015","2015","13303","Tiltil",1074.59713,,
"2015","2015","13401","San Bernardo",661209.44591,,
"2016","2016","15101","Arica",119026.62181,,
"2016","2016","01101","Iquique",196329.54839,,
"2016","2016","02101","Antofagasta",332214.89833,,
"2016","2016","02201","Calama",91620.2317,,
"2016","2016","03101","Copiapó",149655.29803,,
"2016","2016","04101","La Serena",266442.57579,,
"2016","2016","04102","Coquimbo",200597.67596,,
"2016","2016","04301","Ovalle",18735.0057,,
"2016","2016","05101","Valparaíso",244300.37549,,
"2016","2016","05103","Concón",86306.8655,,
"2016","2016","05109","Viña del Mar",388878.17081,,
"2016","2016","05301","Los Andes",100789.618071633,,
"2016","2016","05601","San Antonio",130592.149994547,,
"2016","2016","05701","San Felipe",86761.6283999639,,
"2016","2016","05801","Quilpué",104592.98242,,
"2016","2016","05804","Villa Alemana",32226.1634,,
"2016","2016","06101","Rancagua",212872.88995,,
"2016","2016","06301","San Fernando",90374.8938961695,,
"2016","2016","07101","Talca",170575.77008,,
"2016","2016","07301","Curicó",44043.46657,,
"2016","2016","07401","Linares",26608.18813,,
"2016","2016","08101","Concepción",271958.63755,,
"2016","2016","08102","Coronel",28179.22886,,
"2016","2016","08103","Chiguayante",45772.65552,,
"2016","2016","08105","Hualqui",2259.78408,,
"2016","2016","08106","Lota",50.13481,,
"2016","2016","08107","Penco",70600.59913,,
"2016","2016","08108","San Pedro de la Paz",202003.8193,,
"2016","2016","08110","Talcahuano",201910.36979,,
"2016","2016","08111","Tomé",28321.56047,,
"2016","2016","08112","Hualpén",95505.67434,,
"2016","2016","08301","Los Ángeles",125523.24016,,
"2016","2016","08401","Chillán",155629.61089,,
"2016","2016","09101","Temuco",283516.59709,,
"2016","2016","09112","Padre Las Casas",33355.29849,,
"2016","2016","09201","Angol",16165.07678,,
"2016","2016","14101","Valdivia",70855.60855,,
"2016","2016","10101","Puerto Montt",170966.52354,,
"2016","2016","10301","Osorno",74682.63297,,
"2016","2016","11101","Coyhaique",98151.1999793035,,
"2016","2016","12101","Punta Arenas",46540.29223,,
"2016","2016","13101","Santiago",571479.55788,,
"2016","2016","13102","Cerrillos",267519.77037,,
"2016","2016","13103","Cerro Navia",65437.08087,,
"2016","2016","13104","Conchalí",148759.05145,,
"2016","2016","13105","El Bosque",104211.23218,,
"2016","2016","13106","Estación Central",247515.84779,,
"2016","2016","13107","Huechuraba",188046.05632,,
"2016","2016","13108","Independencia",152919.45824,,
"2016","2016","13109","La Cisterna",183121.93474,,
"2016","2016","13110","La Florida",362709.56758,,
"2016","2016","13111","La Granja",159549.75029,,
"2016","2016","13112","La Pintana",191686.429521344,,
"2016","2016","13113","La Reina",161497.16109,,
"2016","2016","13114","Las Condes",474039.74122,,
"2016","2016","13115","Lo Barnechea",114268.93089,,
"2016","2016","13116","Lo Espejo",102879.94957,,
"2016","2016","13117","Lo Prado",80933.67841,,
"2016","2016","13118","Macul",218104.51448,,
"2016","2016","13119","Maipú",510172.10954,,
"2016","2016","13120","Ñuñoa",320437.42574,,
"2016","2016","13121","Pedro Aguirre Cerda",94648.53964,,
"2016","2016","13122","Peñalolén",205763.30894,,
"2016","2016","13123","Providencia",389821.68692,,
"2016","2016","13124","Pudahuel",229898.15788,,
"2016","2016","13125","Quilicura",299157.8523,,
"2016","2016","13126","Quinta Normal",164596.22113,,
"2016","2016","13127","Recoleta",174632.7238,,
"2016","2016","13128","Renca",224752.37319,,
"2016","2016","13129","San Joaquín",120554.28469,,
"2016","2016","13130","San Miguel",148259.02993,,
"2016","2016","13131","San Ramón",97572.59236,,
"2016","2016","13132","Vitacura",314150.34163,,
"2016","2016","13201","Puente Alto",372533.58932,,
"2016","2016","13301","Colina",342440.73622,,
"2016","2016","13302","Lampa",187101.53188,,
"2016","2016","13303","Tiltil",127305.5657,,
"2016","2016","13401","San Bernardo",515463.5903,,
"2005","2005","15101","Arica",62454.17382986,,
"2005","2005","01101","Iquique",93258.1884437,,
"2005","2005","02101","Antofagasta",186838.6533912,,
"2005","2005","02201","Calama",124119.0676597,,
"2005","2005","03101","Copiapó",65143.3189555,,
"2005","2005","04101","La Serena",84178.0407553,,
"2005","2005","04102","Coquimbo",62279.31594857,,
"2005","2005","04301","Ovalle",26374.2185661316,,
"2005","2005","05101","Valparaíso",170698.50160608,,
